Model,MAE,RMSE,MAPE,Unnamed: 0
XGBoost,1200.494661966092,2602.1773085773443,1.8133494391951776e+16,
LightGBM,1234.1916812896684,2564.795642024066,1.7381065161295746e+16,
Naive Baseline,1540.8620761819886,3476.166405290712,5397247321595706.0,
Prophet,1385515.0103141011,1838681.010996936,2.945324094338381,0.0
